Afghanistan,37172386,33.93911,67.709953,68.88,31.12
Albania,2866376,41.153332,20.168331,48,52
Algeria,42228429,28.033886,1.659626,53.8,46.2
Andorra,77006,42.546245,1.601554,0,0
Angola,30809762,-11.202692,17.873887,0,0
Antigua and Barbuda,96286,17.060816,-61.796428,0,0
Argentina,44494502,-38.416097,-63.616672,49.77,50.23
Armenia,2951776,40.069099,45.038189,0,0
Australia,24982688,-25.274398,133.775136,48.73,51.27
Austria,8840521,47.516231,14.550072,49.41,50.59
Azerbaijan,9939800,40.143105,47.576927,46,54
Bahamas,385640,25.03428,-77.39628,0,0
Bahrain,1569439,25.930414,50.637772,88,12
Bangladesh,161356039,23.684994,90.356331,71,29
Barbados,286641,13.193887,-59.543198,0,0
Belarus,9483499,53.709807,27.953389,0,0
Belgium,11433256,50.503887,4.469936,44.74,55.26
Belize,383071,17.189877,-88.49765,53.82,46.18
Benin,11485048,9.30769,2.315834,0,0
Bhutan,754394,27.514162,90.433601,0,0
Bolivia,11353142,-16.290154,-63.588653,0,0
Botswana,2254126,-22.328474,24.684866,83,17
Brazil,209469333,-14.235004,-51.92528,46,54
Brunei,428962,4.535277,114.727669,49,51
Bulgaria,7025037,42.733883,25.48583,0,0
Burkina Faso,19751535,12.238333,-1.561593,65.79,34.21
Burundi,11175378,-3.373056,29.918886,0,0
Cambodia,16249798,12.565679,104.990963,79.86,20.14
Cameroon,25216237,7.369722,12.354722,0,0
Canada,37057765,56.130366,-106.346771,47.69,52.31
Cape Verde,543767,16.002082,-24.013197,47.55,52.45
Central African Republic,4666377,6.611111,20.939444,73.49,26.51
Chad,15477751,15.454166,18.732207,70.96,29.04
Chile,18729160,-35.675147,-71.542969,50.64,49.36
China,1392730000,35.86166,104.195397,51,49
Colombia,49648685,4.570868,-74.297333,49.93,50.07
Costa Rica,4999441,9.748917,-83.753428,51.48,48.52
Croatia,4087843,45.1,15.2,48.52,51.48
Cuba,11338138,21.521757,-77.781167,54.11,45.89
Cyprus,1189265,35.126413,33.429859,51.3,48.7
Czech Republic,10629928,49.817492,15.472962,47.65,52.35
Denmark,5793636,56.26392,9.501785,49.86,50.14
Djibouti,958920,11.825138,42.590275,68,32
Dominica,71625,15.414999,-61.370976,0,0
Dominican Republic,10627165,18.735693,-70.162651,51,49
Ecuador,17084357,-1.831239,-78.183406,53.01,46.99
Egypt,98423595,26.820553,30.802498,0,0
El Salvador,6420744,13.794185,-88.89653,52.1,47.9
Equatorial Guinea,1308974,1.650801,10.267895,59.14,40.86
Eritrea,3213972,15.179384,39.782334,0,0
Estonia,1321977,58.595272,25.013607,48.31,51.69
Ethiopia,109224559,9.145,40.489673,61,39
Finland,5515525,61.92411,25.748151,49,51
France,66977107,46.227638,2.213749,47.46,52.54
Gabon,2119275,-0.803689,11.609444,40,60
Gambia,2280102,13.443182,-15.310139,58.75,41.25
Georgia,3726549,42.315407,43.356892,0,0
Germany,82905782,51.165691,10.451526,49.22,50.78
Ghana,29767108,7.946527,-1.023194,58,42
Greece,10731726,39.074208,21.824312,53.14,46.86
Grenada,111454,12.262776,-61.604171,0,0
Guatemala,17247807,15.783471,-90.230759,57.38,42.62
Guinea,12414318,9.945587,-9.696645,68.17,31.83
Guinea-Bissau,1874309,11.803749,-15.180413,0,0
Guyana,779004,4.860416,-58.93018,51.94,48.06
Haiti,11123176,18.971187,-72.285215,57.9,42.1
Honduras,9587522,15.199999,-86.241905,52,48
Hungary,9775564,47.162494,19.503304,0,0
Iceland,352721,64.963051,-19.020835,50,50
India,1352617328,20.593684,78.96288,65,35
Indonesia,267663435,-0.789275,113.921327,50.5,49.5
Iran,81800269,32.427908,53.688046,57,43
Iraq,38433600,33.223191,43.679291,56.62,43.38
Ireland,4867309,53.41291,-8.24389,47.05,52.95
Israel,8882800,31.046051,34.851612,52.01,47.99
Italy,60421760,41.87194,12.56738,49.06,50.94
Jamaica,2934855,18.109581,-77.297508,45.42,54.58
Japan,126529100,36.204824,138.252924,55,45
Jordan,9956011,30.585164,36.238414,0,0
Kazakhstan,18272430,48.019573,66.923684,61,39
Kenya,51393010,-0.023559,37.906193,63.8,36.2
Kuwait,4137309,29.31166,47.481766,0,0
Kyrgyzstan,6322800,41.20438,74.766098,47,53
Laos,7061507,19.85627,102.495496,0,0
Latvia,1927174,56.879635,24.603189,44.25,55.75
Lebanon,6848925,33.854721,35.862285,55,45
Lesotho,2108132,-29.609988,28.233608,0,0
Liberia,4818977,6.428055,-9.429499,64.93,35.07
Lithuania,2801543,55.169438,23.881275,43.05,56.95
Luxembourg,607950,49.815273,6.129583,50,50
Madagascar,26262368,41.608635,21.745275,0,0
Malawi,18143315,-13.254308,34.301525,68.29,31.71
Malaysia,31528585,4.210484,101.975766,0,0
Maldives,515696,3.202778,73.22068,69.48,30.52
Mali,19077690,17.570692,-3.996166,67,33
Malta,484630,35.937496,14.375416,60,40
Mauritania,4403319,21.00789,-10.940835,0,0
Mauritius,1265303,-20.348404,57.552152,0,0
Mexico,126190788,23.634501,-102.552784,51.04,48.96
